epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,1850.2,1.74818,1.36691,1.16783,0.32254,0.27437,0.19678,0.10314,2.05078,1.7569,1.36991,0.000273406,0.000273406,0.000273406
111,1867.07,1.71965,1.39789,1.16027,0.36454,0.25988,0.20357,0.11501,2.0643,1.79099,1.38193,0.00026674,0.00026674,0.00026674
112,1883.76,1.74866,1.38209,1.15488,0.31686,0.27587,0.1556,0.08447,2.10814,1.82965,1.41039,0.000260074,0.000260074,0.000260074
113,1901.1,1.7294,1.36328,1.15897,0.36951,0.19937,0.16598,0.08739,2.08442,1.8316,1.39861,0.000253408,0.000253408,0.000253408
114,1917.73,1.73832,1.37168,1.15843,0.34944,0.27801,0.18219,0.089,2.05391,1.82825,1.35865,0.000246742,0.000246742,0.000246742
115,1934.43,1.73039,1.38274,1.15262,0.3713,0.24533,0.17089,0.10226,2.08994,1.83856,1.39735,0.000240076,0.000240076,0.000240076
116,1951.13,1.71829,1.37758,1.15405,0.37592,0.30594,0.25523,0.14529,2.07584,1.78849,1.36538,0.00023341,0.00023341,0.00023341
117,1969.33,1.72928,1.37634,1.17425,0.4024,0.24227,0.20341,0.1116,2.09141,1.81368,1.37549,0.000226744,0.000226744,0.000226744
118,1985.92,1.69282,1.36164,1.13916,0.36693,0.2233,0.19013,0.10058,2.07692,1.82721,1.39518,0.000220078,0.000220078,0.000220078
119,2002.59,1.70812,1.34744,1.15489,0.50189,0.18806,0.22451,0.13791,2.05901,1.81625,1.38949,0.000213412,0.000213412,0.000213412
120,2019.74,1.70944,1.3635,1.15157,0.26036,0.23148,0.17691,0.1046,2.06155,1.8021,1.3927,0.000206746,0.000206746,0.000206746
121,2036.45,1.69094,1.33918,1.14723,0.28485,0.242,0.18732,0.11014,2.0511,1.80749,1.37087,0.00020008,0.00020008,0.00020008
122,2052.97,1.66176,1.33756,1.12146,0.295,0.27976,0.16538,0.08886,2.05424,1.78803,1.38578,0.000193414,0.000193414,0.000193414
123,2069.55,1.70207,1.36365,1.14864,0.25272,0.27232,0.1664,0.08868,2.07187,1.84998,1.39217,0.000186748,0.000186748,0.000186748
124,2087,1.68794,1.33239,1.14074,0.47361,0.19999,0.17164,0.09177,2.04931,1.81241,1.37672,0.000180082,0.000180082,0.000180082
125,2103.84,1.69974,1.3292,1.16497,0.4431,0.21995,0.23656,0.13529,2.08587,1.80009,1.3925,0.000173416,0.000173416,0.000173416
126,2120.58,1.66742,1.30995,1.14432,0.55751,0.20292,0.23215,0.14151,2.09109,1.80666,1.39374,0.00016675,0.00016675,0.00016675
127,2137.46,1.65343,1.30615,1.15801,0.65825,0.21586,0.22717,0.11918,2.14707,1.80913,1.41178,0.000160084,0.000160084,0.000160084
128,2154.85,1.63681,1.29777,1.13392,0.30898,0.21145,0.17728,0.09756,2.10074,1.80024,1.43011,0.000153418,0.000153418,0.000153418
129,2171.51,1.66946,1.33013,1.11094,0.28585,0.23657,0.17149,0.09608,2.0944,1.83645,1.42482,0.000146752,0.000146752,0.000146752
130,2188.3,1.63031,1.29031,1.11141,0.43845,0.22627,0.1799,0.09318,2.10181,1.80728,1.40249,0.000140086,0.000140086,0.000140086
131,2207.74,1.71275,1.38585,1.19552,0.44596,0.23039,0.24437,0.1312,2.08424,1.81776,1.39778,0.00013342,0.00013342,0.00013342
132,2224.2,1.68786,1.36177,1.1747,0.2719,0.2833,0.1801,0.08295,2.09508,1.86016,1.42465,0.000126754,0.000126754,0.000126754
133,2240.61,1.6646,1.32591,1.18952,0.34443,0.1476,0.18098,0.09246,2.12631,1.82234,1.44513,0.000120088,0.000120088,0.000120088
134,2257.35,1.66601,1.34067,1.18025,0.4277,0.25371,0.26776,0.15826,2.11491,1.84898,1.43469,0.000113422,0.000113422,0.000113422
135,2274.89,1.61532,1.29843,1.15023,0.3363,0.22671,0.24543,0.15514,2.11703,1.80184,1.41479,0.000106756,0.000106756,0.000106756
136,2291.3,1.6361,1.27995,1.1677,0.73749,0.19122,0.23511,0.1434,2.10482,1.79469,1.42804,0.00010009,0.00010009,0.00010009
137,2307.67,1.66617,1.30606,1.17617,0.35142,0.24719,0.23637,0.15077,2.14243,1.8421,1.43647,9.3424e-05,9.3424e-05,9.3424e-05
138,2324.28,1.6456,1.29038,1.1829,0.36365,0.25118,0.25661,0.15973,2.12972,1.82585,1.43055,8.6758e-05,8.6758e-05,8.6758e-05
139,2340.98,1.66433,1.29821,1.17071,0.37106,0.24306,0.26324,0.14662,2.1386,1.81286,1.43637,8.0092e-05,8.0092e-05,8.0092e-05
140,2357.28,1.61947,1.26418,1.15905,0.42994,0.2096,0.23054,0.1397,2.12041,1.83333,1.43099,7.3426e-05,7.3426e-05,7.3426e-05
141,2373.81,1.62888,1.24722,1.15796,0.45004,0.25199,0.2678,0.1547,2.13383,1.83374,1.44497,6.676e-05,6.676e-05,6.676e-05
142,2390.64,1.61074,1.27117,1.16065,0.4241,0.26473,0.25948,0.14849,2.13684,1.80684,1.44398,6.0094e-05,6.0094e-05,6.0094e-05
143,2407.17,1.60872,1.24408,1.15462,0.41775,0.27069,0.26425,0.1497,2.13602,1.80809,1.45125,5.3428e-05,5.3428e-05,5.3428e-05
144,2423.52,1.60883,1.24722,1.14841,0.47687,0.19651,0.18449,0.10275,2.13519,1.7909,1.45178,4.6762e-05,4.6762e-05,4.6762e-05
145,2439.62,1.64016,1.33793,1.18886,0.5009,0.19591,0.22992,0.13949,2.12824,1.7939,1.45502,4.0096e-05,4.0096e-05,4.0096e-05
146,2456.32,1.62187,1.25108,1.1595,0.51738,0.2261,0.21699,0.116,2.13836,1.79913,1.45821,3.343e-05,3.343e-05,3.343e-05
147,2472.76,1.61898,1.25714,1.14198,0.46484,0.1905,0.18746,0.11157,2.14107,1.80404,1.45452,2.6764e-05,2.6764e-05,2.6764e-05
148,2489.1,1.62045,1.25652,1.14771,0.46136,0.19845,0.18713,0.1075,2.14427,1.81629,1.46014,2.0098e-05,2.0098e-05,2.0098e-05
149,2505.3,1.6133,1.24769,1.1505,0.45879,0.19951,0.17745,0.10514,2.14385,1.80391,1.46077,1.3432e-05,1.3432e-05,1.3432e-05
150,2521.95,1.58197,1.21263,1.14005,0.45479,0.19967,0.18727,0.10742,2.13972,1.78474,1.45878,6.766e-06,6.766e-06,6.766e-06
